Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1222967,,16327,64 STREET NW,N,2500,MATT BERRY,Dene Ward,140500,53.62542238,-113.4365747,POINT (-113.43657471493623 53.62542238247154),100,,,COMMERCIAL,,
1073865,,1603,70 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2174500,53.5061466,-113.3674365,POINT (-113.36743649975017 53.50614660057611),100,,,COMMERCIAL,,
1080399,,9504,41 AVENUE NW,N,6700,STRATHCONA INDUSTRIAL PARK,Karhiio Ward,2609000,53.47685898,-113.476137,POINT (-113.47613696155976 53.47685898301277),100,,,COMMERCIAL,,
1103282,,1821,232 AVENUE NE,Y,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Dene Ward,734000,53.69072236,-113.3173819,POINT (-113.31738192366086 53.69072236395033),78,21,1,RESIDENTIAL,RESIDENTIAL,FARMLAND
1113794,,10507,231 STREET NW,N,4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga Ward,12500,53.55035183,-113.708829,POINT (-113.7088289513505 53.55035182926862),100,,,FARMLAND,,
1020791,,170,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,603000,53.50213713,-113.5954193,POINT (-113.59541930398653 53.50213713184495),100,,,RESIDENTIAL,,
1028216,38,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,188000,53.44972173,-113.4984876,POINT (-113.49848762847681 53.44972173311874),100,,,RESIDENTIAL,,
1175694,,16433,115 STREET NW,N,3180,DUNLUCE,Anirniq Ward,177500,53.62560481,-113.5219638,POINT (-113.5219637567292 53.625604811329936),100,,,RESIDENTIAL,,
1210988,,9306,162 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,351000,53.5287128,-113.601705,POINT (-113.6017049837148 53.52871280352431),100,,,RESIDENTIAL,,
1310309,,10141,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,205500,53.61879064,-113.4983,POINT (-113.49830002095884 53.61879064397748),100,,,RESIDENTIAL,,
1102631,,20411,34 STREET NW,Y,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Dene Ward,478000,53.66869362,-113.3872804,POINT (-113.38728035648309 53.668693623894086),82,10,8,RESIDENTIAL,FARMLAND,RESIDENTIAL
1067438,,3970,34 STREET SW,N,6663,DECOTEAU,Sspomitapi Ward,514000,53.39951332,-113.3967087,POINT (-113.39670873000341 53.39951331897703),92,5,3,RESIDENTIAL,FARMLAND,COMMERCIAL
1072370,,5480,MERIDIAN STREET NW,N,6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi Ward,4418500,53.4920778,-113.3507171,POINT (-113.3507171087915 53.49207780027594),77,18,4,COMMERCIAL,RESIDENTIAL,RESIDENTIAL
1070259,,2503,170 STREET SW,N,5579,GLENRIDDING RAVINE,Ipiihkoohkanipiaohtsi Ward,228500,53.41405562,-113.607885,POINT (-113.60788500358284 53.41405562091771),99,1,,RESIDENTIAL,FARMLAND,
1302967,,9638,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,378000,53.53418785,-113.5802762,POINT (-113.58027623800236 53.534187854850714),100,,,RESIDENTIAL,,
1315043,902,10011,123 STREET NW,N,1150,OLIVER,O-day'min Ward,192000,53.54094874,-113.533619,POINT (-113.53361896511977 53.540948737537185),100,,,RESIDENTIAL,,
1279488,23,1651,46 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,185000,53.44449555,-113.4080561,POINT (-113.40805607019388 53.44449555015787),100,,,RESIDENTIAL,,
1110428,,5240,EDGEMONT BOULEVARD NW,Y,4462,EDGEMONT,sipiwiyiniwak Ward,1354000,53.47225376,-113.679673,POINT (-113.67967304473495 53.47225376315805),55,42,2,FARMLAND,RESIDENTIAL,FARMLAND
1066471,,3710,MERIDIAN STREET SW,N,6663,DECOTEAU,Sspomitapi Ward,518500,53.3995063,-113.3491785,POINT (-113.34917849006939 53.39950630120925),98,2,,RESIDENTIAL,FARMLAND,
